class,x1,y1,x2,y2,xmax,ymax
2,141,892,295,933,1764,1012
2,159,953,377,996,1764,1012
2,901,252,1140,206,1764,1012
2,1144,208,1424,249,1764,1012
2,922,308,987,272,1764,1012
2,988,271,1102,310,1764,1012
2,1104,305,1248,272,1764,1012
2,1259,270,1396,307,1764,1012
2,1396,307,1529,271,1764,1012
2,922,307,971,337,1764,1012
2,971,337,1031,307,1764,1012
2,1045,314,1124,340,1764,1012
2,1135,308,1245,337,1764,1012
2,1246,339,1280,307,1764,1012
2,992,355,1105,385,1764,1012
2,1105,385,1166,353,1764,1012
2,1163,354,1207,387,1764,1012
2,1207,387,1276,354,1764,1012
2,1276,353,1346,386,1764,1012
2,1347,387,1452,354,1764,1012
2,1450,354,1555,381,1764,1012
2,992,393,1054,420,1764,1012
2,1054,425,1157,389,1764,1012
2,1157,390,1224,422,1764,1012
2,1221,424,1293,388,1764,1012
2,1293,388,1346,419,1764,1012
2,1345,426,1464,388,1764,1012
2,1465,389,1546,425,1764,1012
2,1544,427,1603,390,1764,1012
2,991,428,1014,455,1764,1012
2,1012,460,1085,425,1764,1012
2,1088,425,1119,453,1764,1012
2,1120,457,1228,423,1764,1012
2,1227,422,1256,453,1764,1012
2,1258,453,1305,423,1764,1012
2,1305,423,1357,451,1764,1012
2,1357,451,1413,428,1764,1012
2,1419,427,1498,458,1764,1012
2,1498,458,1601,428,1764,1012
2,994,461,1136,490,1764,1012
2,1137,494,1204,458,1764,1012
2,1206,457,1299,493,1764,1012
2,1305,493,1419,461,1764,1012
2,1425,466,1449,490,1764,1012
2,1455,494,1538,466,1764,1012
2,1535,463,1599,495,1764,1012
2,996,493,1093,521,1764,1012
2,1097,495,1274,520,1764,1012
2,1275,501,1388,520,1764,1012
2,1384,497,1427,523,1764,1012
2,1425,495,1488,522,1764,1012
2,1488,522,1602,494,1764,1012
2,992,530,1056,565,1764,1012
2,1056,565,1143,529,1764,1012
2,1143,528,1251,559,1764,1012
2,1251,559,1274,536,1764,1012
2,1276,534,1374,560,1764,1012
2,1372,564,1428,534,1764,1012
2,1427,533,1479,559,1764,1012
2,1483,561,1528,535,1764,1012
2,995,569,1078,599,1764,1012
2,1079,600,1122,566,1764,1012
2,1123,566,1175,598,1764,1012
2,1174,598,1239,571,1764,1012
2,1239,570,1297,600,1764,1012
2,1296,599,1371,573,1764,1012
2,1369,573,1418,597,1764,1012
2,1416,597,1495,572,1764,1012
2,1493,571,1523,600,1764,1012
2,1521,599,1601,573,1764,1012
2,995,605,1137,624,1764,1012
2,1138,631,1266,603,1764,1012
2,1266,602,1323,628,1764,1012
2,1326,633,1371,600,1764,1012
2,1373,603,1424,630,1764,1012
2,900,753,1118,709,1764,1012
2,920,774,1248,811,1764,1012
2,1264,787,1302,810,1764,1012
2,1304,783,1381,810,1764,1012
2,1381,810,1520,785,1764,1012
2,1518,782,1558,810,1764,1012
2,1557,810,1598,784,1764,1012
2,922,816,1011,843,1764,1012
2,1014,846,1103,817,1764,1012
2,1102,817,1149,843,1764,1012
2,1148,845,1221,818,1764,1012
2,1253,816,1228,841,1764,1012
2,1256,814,1286,843,1764,1012
2,1285,845,1320,815,1764,1012
2,1320,815,1446,839,1764,1012
2,994,867,1062,895,1764,1012
2,994,899,1039,933,1764,1012
2,996,936,1063,966,1764,1012
2,1064,967,1143,932,1764,1012
2,1143,932,1143,932,1764,1012
2,1143,934,1253,967,1764,1012
2,1250,966,1327,937,1764,1012
2,1328,937,1356,968,1764,1012
2,1354,967,1457,939,1764,1012
2,1457,939,1591,962,1764,1012
2,1044,927,1082,899,1764,1012
2,1082,899,1170,926,1764,1012
2,1065,866,1159,895,1764,1012
2,1160,895,1225,864,1764,1012
2,1225,864,1302,897,1764,1012
2,1302,897,1327,867,1764,1012
2,1327,867,1409,894,1764,1012
2,1409,894,1521,867,1764,1012
2,1519,870,1599,894,1764,1012
2,994,974,1070,999,1764,1012
2,1072,974,1100,999,1764,1012
2,1101,974,1222,999,1764,1012
2,1222,999,1305,975,1764,1012
2,1305,975,1356,998,1764,1012
2,1356,998,1437,977,1764,1012
2,1439,980,1514,999,1764,1012
2,1511,999,1540,976,1764,1012
2,1539,976,1612,999,1764,1012
3,438,373,438,373,1764,1012
3,152,270,594,311,1764,1012
3,155,313,427,345,1764,1012
3,160,347,460,374,1764,1012
3,158,375,845,443,1764,1012
3,158,469,608,507,1764,1012
3,158,504,401,535,1764,1012
3,159,539,428,571,1764,1012
3,160,570,430,598,1764,1012
3,162,599,671,634,1764,1012
3,162,657,606,695,1764,1012
3,161,696,309,727,1764,1012
3,164,728,433,754,1764,1012
3,163,758,768,816,1764,1012
3,154,951,376,994,1764,1012
3,958,349,1558,384,1764,1012
3,962,386,1606,458,1764,1012
3,964,461,1605,525,1764,1012
3,965,529,1531,565,1764,1012
3,965,565,1608,637,1764,1012
3,956,862,1608,927,1764,1012
3,954,925,1601,968,1764,1012
3,955,968,1612,999,1764,1012
3,1336,13,1607,55,1764,1012
3,1273,58,1602,101,1764,1012
3,1277,102,1606,141,1764,1012
